"username","Rating","text"
"Mastio Yuhuuu","5/5","Allhamdulillah sangat baik sekali pelayanannya, saat penyambutan diawal informasi yang jelas administrasi gak ribet gk sampe 5 menit. …"
"Muhammad Zahir Maricar","5/5","Termurah di Pusat kota, dan bersih juga. cocok untuk sales seperti saya 120rb"
"Poniarti Pga","3/5","Bagus sekali"
"Irfan Syah","5/5","Ada nomer yg bisa dihubungi gk hotel assadah ?"
"Thony Nybe","5/5","Harga pas dikantong, lokasi strategis, parkir aman, pelayanan oke dan dekat dengan kuliner."
"Muhammad Prastiawan","4/5","sangat nyaman dan menyenangkan karena saya bisa bermain gap bersama teman-teman"
"Septian Trader","5/5","Pelayanan baik. Ruangan bersih nyaman.. berbasis syar'i murah meriah 👍 …"
"Didin S","5/5","Hotel cukup bagus untuk menginap disini, kamar bervariasi mulai 450k-350k-250k-200k-180k-150k per malam dengan waktu check out pukul 12 siang.
Khusus ekonomi clas 180-150 kamar mandi diluar. …"
"REZKY ALFINDO","5/5","Tempatnya nyaman , luas , dan bisa nyantai"" buat yang lagi rame-rame ,
Semoga berkah"
"Ria Komaria","5/5","Lokasi strategis terletak di pasar dan tengah kota, kamar bersih, kamar mandi bersih, parkiran aman, ada garasi besar di belakang 👍🏻 …"
"Dedi iskandar Jauhari","5/5","Hunian yang terjangkau untuk sendiri ataupun bersama keluarga. Kamar cukup memuaskan."
"Endre Gilvano","5/5","harga nya cocok. tmpt nya nyaman juga buat rame"" ada tmpt santai nyaa 👍👍👍 …"
"Widya Larasati","5/5","Asli cozy dan bersih banget ini tempat. Letaknya ditengah kota Pagaralam, akses kemana-mana jadi mudah"
"Ucup Cogas","5/5","Info harga kalau mingguan sama kontak WA ada?"
"Ry Cell","5/5","Harga murah kualitas ok.
Yg punya baik."
"adi surya","5/5","krna memuaskan kami klga dan temsn teman yg menginap disana selama 2 malam."
"Muhammad Arrohman","5/5","Boleh mintak nmr wa nya pak/mbak saya mau tanya2."
"Safran Efendi","5/5","bagus"
"ziska imannullah","3/5","Agak susah tempatnya naik tangga"
"Dian Fajar Wati","4/5","Lumayan dengan harga segitu, kamar harum"
"kejuu2109","1/5","pelayanan tidak bagus"
"Alifa, Alisha, Aliya","5/5","Dekat pusat perbelanjaan. Dekat tempat ibadah"
"Liana Liana","5/5","Bersi murah ramah"
"Agus Prayitno","5/5","Pelayanan ramah,,,bersih juga"
"Bum Eka Jaya","5/5","murah dan bersih"
"Wardanu Husodo","4/5",""
"AyarMerkez- Özgür Düşlem","5/5","Tempat yang ideal untuk perjalanan ke tempat yang tidak diketahui. Ini bisa menjadi pengalaman berbeda bagi para pencari petualangan di dunia di mana persepsi estetika dibakukan. Masalah orang-orang saat ini adalah mereka menjauh dari men …"
"Mehmet ÇAKIR","1/5","Bisnis ini mencoba membeli 5 bintang demi uang. Komentarnya tidak adil."
"murat hoşbaş","1/5","Semua komentar dari Turki itu bohong; Ini adalah bisnis yang membeli ulasan dengan uan …"
"Burak Ayan","5/5","Tempat menyenangkan yang bagus. Saya akan senang untuk pergi lagi. Kepuasan pelangg …"
"Osman Kılıc","5/5","Saya datang untuk tujuan bisnis dan saya sangat puas dengan pendiriannya. Jika saya pernah datang dengan cara ini lagi, itu akan menjadi …"
"Melih Keleş","5/5","Ini adalah tempat yang sangat bagus. Tenang dan damai Saya merekomenda …"
"Gokhan Ozcan","5/5","Layanan hebat dan pengalaman berkualitas .. ini adalah tempat yang harus dikunjungi setiap orang setidaknya sek …"
"Ceyhan Yeşil","5/5","Terima kasih atas layanan Anda. Pengalaman menginap yang luar biasa! Pasti datang lagi tahun …"
"Mehmet Turan","5/5","Layanan yang ramah dan ramah. Kamarnya bersih dan damai. Senang berada di tengah"
"THM MADENCİLİK","5/5","Itu pilihan yang sangat bagus untuk tetap dengan harga serendah itu. Kamar bersih dan ramah pribadi.
 …"
"mitra dinç","5/5","Sangat bagus, saya merekomendasikan …"
"Furkan Karabay","5/5","Ini sangat bagus, saya belum pernah melihat layanan seperti itu, sanga …"
"Kaan Balcı","5/5","Halo semuanya, saya sangat senang dengan kamar, layanan, dan semuanya, terima kasih banyak untuk semua orang yang berkontribus …"
"Ezgi İnce","5/5","Tempat yang sangat baik akan merekomenda …"
"Nicat Memmedzade","5/5","Semuanya bagus, saya sangat menyukainya)) Saya juga merekome …"
"Yakup SIKILI","5/5","Bisnis yang sukses, semuanya sangat baik, pasti datang."
"C K","5/5","Fasilitas yang mengutamakan kebersihan dan pelayanan yang ramah serta  …"
"Mustafa Özcan","5/5","Kamarnya rapi dan sangat bersih. Kami senang tinggal di sana. Dan juga memiliki orang-orang yang sangat b …"
"Mustafa Yılmaz","5/5","Tempat yang sangat bagus,  …"
"Omar AbdulGhani","5/5","Layanan yang sangat baik, mereka peduli dengan pelanggan, dan harga san …"
"Emre Tabak","1/5","Jangan percaya ulasannya, mereka membayarnya (5 bintang). Terutama ulasan dari pengguna Turki. mereka belum pernah ke sana."
"seren beklen","5/5","Tempat yang sangat sederhana, meskipun tua, bersi …"
"Volkan","5/5","Harga wajar, staf ramah dan sopan. 👍🏻"
"Musa Ebrar Çetindil","5/5","Ini adalah tempat yang sangat bagus untuk menjadi pilihan untuk  …"
"merlin mutlu","5/5","Kamarnya bersih, stafnya ramah dan lokasinya bagus! Saya sangat menyarankan Anda hotel ini."
"ismail ozcifci","5/5","Layanan bisnis yang hebat dan lokasinya s …"
"Çağla Akbulut","5/5","Kami berterima kasih atas segalanya. Kami sang …"
"Şafak Söylemez","5/5","Kamarnya sangat bersih, pelayanannya bagus dan lokasinya sangat bagus. Terima kasih untuk semuanya, sampa …"
"DGKN ESMR","5/5","Sepertinya tempat yang bagus untuk tinggal di negara in …"
"Ezgi öztürk","5/5","Itu adalah tempat yang bersih,  …"
"osman ekici","5/5","Pengalaman super harus dicoba untuk liburan yang damai"
"Ersin özgür","5/5","Hotel yang sukses dengan wajah tersenyum dan …"
"Kenan İPEK","5/5","Tempat yang sangat bagus saya …"
"Doğukan TEKAN","5/5","tempat terbaik"
"shio","5/5","Saya suka, saya suka, lokasinya ba …"
"haydar alakoç","5/5","Jika Anda sedang dalam perjalanan, pastikan untuk mampir …"
"ÖMER KASIMOĞLU","5/5","Saya menyukainya, tempat y …"
"HABİL DAĞHAN","5/5","Superrrrr pendirian yang sangat bagus  …"
"fırat sevinç","5/5","Saya merasa puas selama saya tinggal …"
"Reşit Akçam","5/5","Tempat yang sangat bagus, saya merek …"
"Mustafa çakıroğlu (Simtik)","5/5","Staf yang sopan, kamar bersih. Direkomendasik …"
"Sevil Balaban","5/5","itu bersih dan rapi. tempat yang dam …"
"rıza yılmazer","5/5","tempat yang bag …"
"Sedat","5/5","Kebersihannya luar biasa, makanannya enak, …"
"hayalet Casino","5/5","Itu adalah pengalaman yang luar biasa bagi sa …"
"Cem Ivegen","5/5","Itu adalah layanan yang memuaskan. Saya …"
"Hayrullah Altın","5/5","Semuanya indah di sini. Terima kasih."
"Bahadır Balı","5/5","sangat bagus saya sarank …"
"Asım Erdoğan","5/5","Bo hotel sangat bagus luas dan bersih"
"yasin özalp","5/5","Semuanya sempurna, saya akan memilih lagi"
"Tahsin Gedik","5/5","Tidak perlu dijelaskan, Anda tahu"
"ibrahim KALIN","5/5","Layanan yang  …"
"zehra koçoğlu","5/5","Lokasi pusat bisnis yang bagu …"
"Gökhan Güven","5/5","Hotel yang sukses semuanya bagu …"
"MEHMET SELÇUK Banaz","5/5","pengalaman yang men …"
"Abdülkadir Arslan","5/5","Saya merekomendasikan Anda untuk  …"
"Snsnn Msns","5/5","Saya merekomendasikannya kepada s …"
"Serhat taş","5/5","Sangat bersih, kami puas"
"naz Jhatjidelichassan","5/5","cukup bagus"
"Alper Yağcı","5/5","Lokasi bagus, hotel bersih"
"DARK BLUE ENERGY","5/5","Itu menawarkan pengalaman yang sa …"
"emrah cetinkaya","5/5","Saya merekomendasikan hotel y …"
"Moamin Almola","5/5","Hotel yang sangat bagus dan nyaman dengan pelayana …"
"Moviesclip","5/5","Ini bagus, menurut saya"
"Murat Aldemir","5/5","Terjangkau dan bersih"
"Emin Uzun","5/5","Sangat  …"
"Erdinç BAHADIR","5/5","Komentar dari pos🙂"
"oppaidang","5/5","Sangat  …"
"Mehmet BERKER","5/5","Sangat bagus, saya me …"
"Haneen ALMOLA","5/5","Tempat yang sanga …"
"Harun","5/5","saya menyarank …"
"Tolga Kinas","5/5","Semua berjalan dengan …"
"Umut Yavuz","5/5","tempat yang ke …"
"Cumali Kcv","5/5","Semuanya indah, tempatnya indah"
"oğuz gültekin","5/5","👍👏 …"
"Nonsense Fish","5/5","Sangat ba …"
"Uğur Tekdemir","5/5","Itu adalah pengalaman yang lu …"
"Deniz Deniz","5/5","tempat yang i …"
"Hasan Yalcinkaya","5/5","harga yang  …"
"Koen Vanhollebeke","4/5","Salah satu kualitas harga yang lebih baik tetap berada di pusat Pagar alam. Membersihkan kamar dasar dengan spring bed dan shower (sedikit usang) (air dingin hanya  …"
"Rasim Mahmudov","5/5","👍 …"
"Hasan OĞAN","5/5","Pemandangan indah dan keramahan"
"Mustafa Afşarlı","5/5","Ya bagus."
"Bahadır kömür","5/5","Sangat ba …"
"antalya07 emek","5/5","kamar yan …"
"hamza hamza","5/5","Sangat m …"
"Muhammet Ali Divan","5/5","Jika saya pergi ke Indonesia …"
"AradaGez","5/5","Pengalaman menginap yan …"
"Yalçın Çandır","5/5","Hotel bagus yang san …"
"MURAT KELEŞ","5/5","Luar bias …"
"Burak Tuncer","5/5","Besar !!"
"ugur altundas","5/5","Semuanya baik- …"
"Sergen Göktürk","5/5","Tempat yang b …"
"Furkan BAŞER","1/5","Tidak ba …"
