name,"rating",review"
Triana Nurmayati Sihombing,"4.0","Kamar bagus, fasilitas lengkap, di pagi hari air sulit...
Makanan kurang bervariasi dan rasa tidak enak. Sejuk dan pemandangan ke gunung Dempo tidak ke kebun teh"
Arie Stephanie,"3.0","Datang kesini hanya berkunjung bukan menginap di vila nya. View gunung & hamparan kebun tehnya yahud 👍. Sangat memanjakan mata. Ditambah penampakan vila vila disini yang berwarna warni bikin gatel pengen motret 😍. …"
Bang Leyo,"4.0","Lingkungan dan scenery di tempat ini bagus, villanya perlu diperbaiki, khusunya sofa kainnya perlu di ganti kulit sintetis agar lbh bersih dan toiletnya terutama pintunya, ga bisa dikunci karena rusak. Parkiran villa juga perlu di taro …"
Rahadian Vishnu,"5.0","Saya menginap di villa dan hotel ini selama dua malam untuk tujuan dinas di awal Desember 2.002.01.0 (kamar no 1.005.0). Villa dan hotel ini butuh cukup banyak perbaikan. …"
Ose Purba,"4.0","Pengalaman yang lumayan menyenangkan.. layanan kamar bagus.. walau beberapa pintu ada yang agak macet dan keran yang mampet.
Tetapi view villa saat pagi sangat bagus sekali"
Ufhvi,"4.0","Karyawan nya ramah, lokasinya mantap, sayang sarpras dan pelayanannya kurang, misalnya tidak diberi kelengkapan mandi, bak mandi tidak dibersihkan terlebih dulu jadi membuat airnya kotor."
Rahmat Syaputra,"4.0","Viewnya sangat bagus, tapi untuk fasilitas kurang di perhatikan spery kurang bersih, sower mandi susah mandi), so jadi jagn kaget klo menginap, karna memang ke unggulannya adalah view nya"
Endah Sari,"3.0","Dari segi keindahan pemandangan... oke punya ya... kebersihannya buruk, spreinya masih ngeres kaki sy jd gatel krn kotor. Sarapannya gak enak, hambar dan gak variatif menunya, banyak menu yg sdh abis pula gak kebagian. Harga sebanding dg hotel berbintang tp fasilitas ya gak sebanding."
edo's channels,"5.0","Tempat yang luar biasa untuk melepaskan kepenatan dan hiruk pikuk pekerjaan dan lainnya. Udara yg sangat bersih. Cocok buat tempat berlibur dan rekreasi anak."
Rizki Putri Pratama,"2.0","desember 2.001.07 pertama kali nginep disini recommended banget. termasuk sarapan paginya bisa milih.. view langsung ke gunung dan kebun teh. dan minggu kemarin mencoba untuk kembali lg ke sini, sangat mengecewakan, dari awal check in air di …"
tiwi cungkring,"5.0","Villa dengan 3.0 kamar + kamar mandi,.
Lokasi di bawah gunung dempo,, suasananya keren"
Ridho Aidil Jamil,"5.0","Villa nya nyaman banget, adem, tenang, sejuuuk.. adek saya yang suka pegunungan suka banget sama ini villa, cocok buat liburan sekeluarga, ga nyangka juga di sumatera selatan ada suasan kaya gini, biasanya suka mudik ke bandung ternyata di …"
Nikmah Enjoy,"2.0","Villa Hotel Wisata Gunung Gare, salah satu pilihan untuk menginap menikmati atmosfer pegunungan dan lokasinya di tengah hamparan perkebunan teh.   Sungguh letaknya sangat strategis.   Namun sayang, untuk pelayanan dan fasilitas hotel nya …"
Musanaf Official,"5.0","Ini adalah view dari Vila & Hotel Gunung Gare, Vila & Hotel yang cukup nyaman untuk keluarga tercinta, karena disuguhi dengan pemandangan yg Masya Allah Indah, langsung berhadapan ke Gunung Dempo dan Perkebunan Teh"
Reza Kurniawan,"2.0","kurang baik, kamar tidak ada kunci, remote tv rusak, semut serangga dikamar, air panas sebentar hangatnya"
alta Rega,"3.0","Utk makannya tamu saya kurang berkenan, nasinya masih blum masak masih keras, sayurnya juga agak kurang berasa atw hambar tp secara keseluruhan pelayanan pegawainya baik kepada tamu."
Wahyu Rizky Andhifani,"4.0","Villa ini viewnya cakep....pemandangannya Gunung Dempo dan kebun teh. Kalo fasilitasnya ya lumayan, ada air hangatnya. Tidak dapat air mineral botolan, tetapi disediakan di tiap kamar dispenser. Dapat sandal, handuk tetapi alat mandi tidak …"
Andre Jaguarhitam,"1.0","Nomor telepon resepsionis tidak aktif dan saat nomor lain ditelpon puluhan kali tidak menjawab,kamar tidak terawat,sprei kotor (sekalipun sudah diganti),saluran air mampet,shower air nya kecil,sarapan tidak terlalu enak sangat kurang sesuai …"
Muhammad Husni,"5.0","Tempat ini sangat cocok untuk beristirahat bersama keluarga.. Dengan nuansa pemandangan kebun teh di sekitarnya.. Dengan fasilitas yang sangat memuaskan... Coba dan rasakan 😁😄 …"
sii wiraa,"5.0","meskipun di tempat ini tersedia di kawasan hotel dan villa, namun mereka tetap menyediakan akses jalan gratis untuk umum. disini ada beberapa ratus anak tangga yang bisa didaki untuk ke tempat yang lebih tinggi. pada bagian ujung terdapat …"
Oktaria Utami,"5.0","Buat yg butuh ketenangan yg butuh perdamaian dengan alam
Dsni villa gunung gare tercocok pilihan buat menginap dsni dng nuansa alam terbuka ,perkmar menghadap langsng gunung Dempo pagi hr  enk ny lngsng disambut keindahan disekitar😍 …"
Reky Yansyah,"5.0","Rekomend buat semua traveler yg mau pariwisata ke kota #Pagaralam #Sumateraselatan #Gunungdempo #Pariwisatasumateraselatan #Pariwisatapagaralam tempat istrahat yg nyaman"
Komang Pradnyana,"5.0","Salah satu penginapan terkenal di kota Pagaralam, memiliki view gunung Dempo dan kebun teh yang luas. Pasti betah berlama lama disini... …"
Muhammad Musa Akbar,"4.0","Untuk hotel dikawasan gunung cukup bersih, langsung pemandangan kebun teh, sejuk, hanya kurang fasilitas stop kontak saja, berebut colokan"
Meiliza Epilina,"5.0","View gunung dempo dan kebun teh sangat pas diambil dari villa ini
villa nyaman, cukup untuk 1.00 orang, tapi sarapan hanya untuk 6 orang.
tersedia 3.0 kamar yg masing-masing memiliki kamar mandi. …"
Jully,"4.0","Check in villa mudah dan ramah.....villa dgn 3.0 kamar....masing kamar ada kamar mandi.....ada sofa buat leyeh2.0 nnton tv ada meja makan dan kulkas tp gak ada dapur......pemadangan pegunungan dan kebun teh yg terhampar luas sangat menyejukan …"
Zeus Gee,"5.0","Jika butuh suasana alam yg indah dan nyaman ayo menginap di gunung dempo tepatnya Villa Gunung Gare Pagar Alam di pastikan setelah pulang kerumah anda pasgi Fresh Kembali"
Islamic Center2.01.0,"1.0","Villa gunung gare, pasilitas nya tidak terawat. WC westafel dan lingkungan nya sangat tidak nyaman karena kebersihan dan fasilitas tidak di jaga padahal ini merupakan tempat wisata yang merupakan salah satu penunjang PAD kota pagar alam."
Ranti Fani,"4.0","View nya untuk villa n hotel di Pagar alam paling bagus... Langsung menghadap Gunung Dempo dan dikelilingi kebun teh.. tapi menu breakfast nya harus banyak perbaikan dan disesuaikan dg jumlah tamu yg ada"
Best of The Best,"2.0","Salah satu villa yang lokasi sangat strategis untuk melihat pemandangan Gunung Dempo tang begitu memukau. Dengan dikelilingi oleh kebun teh dan terdapat juga lokasi wisata yang sangat populer di Pagar Alam yaitu Tangga 2.0001.0.. semuanya …"
Barbara Valeria,"5.0","Very nice view. Menginap 3.0 malam di sini. Mata benar-benar dimanjakaaaan. Di balkon depan ada hampran kebun teh. Di balkon belakang, ada gunung Dempo. Siapa yang tidak bahagia menginap di sini. Kemarin nginepnya gratis, jadi bahagianya …"
Lusinawati Sutaryo,"2.0","Pemandangannya bagus banget.
Tapi kamar villa gak bersih, kamar mandinya kotor, air showernya gak idup, pintu kamar dan pintu utamanya rusak.
Semoga bisa diperbaiki."
Bee Bee,"5.0","Pagaralam memang selalu membuat rindu akan alam dan pemandangan indahnya.. Rencanakan liburan ke pagaralam dengan menginap di Villa ini, karena langsung bersebelahan dgn hamparan kebun teh dan megahnya Gunung Dempo.. …"
Muhammad,"3.0","Buat anda yang suka travelling dan ingin merasakan bagaimana tinggal di villa, nah di sini bisa menjadi pilihan. Di sini tersedia 2.0 type penginapan yaitu Villa dan Kamar. Untuk kamar bisa digunakan 2.0 orang untuk 3.0 orang sebaiknya jangan …"
Tedy Foo,"5.0","Salah satu tempat wisata pemandangan kebun teh, dengan suasana yang asri dan nyaman.. Terletak di kota Pagar Alam.."
Ulfia Rachmah,"3.0","Villa yg asri dengan view hijaunya karena
1.0. Villa tepat Didepan kebun teh
2.0. Makanan lumayan enak …"
Dipa Yumansah,"2.0","Salah satu pilihan terbaik untuk menginap selagi di pagaralam. Seluruhnya mantap dengan pemandangan gunung dempo dan kebun teh yang luas memuat villa ini bagus. Kekurangan nya kadang airnya mati pada pagi hari"
simple muno,"5.0","Tempat keren untuk menginap kalo liburan ke Pagaralam. Lumayan mahal, tapi dengan view langsung Gunung Dempo, kebun teh, bisa panen strawberry juga (tapi ini beli lagi loh), oke bangetlah. Untuk keluarga bisa sewa satu rumah untuk rame-rame. Recommended."
